id,name,calorie
1,"ご飯",252
2,"玄米ご飯",248
3,"赤飯",284
4,"おにぎり（梅干し）",140
5,"全粥",178
6,"切り餅",129
7,"精白米",534
8,"食パン",156
9,"サンドイッチ用食パン",58
10,"クロワッサン",178
11,"バターロール",95
12,"フランスパン",84
13,"そば（ゆで）",224
14,"そば（干し）",344
15,"うどん（ゆで）",231
16,"うどん（干し）",348
17,"中華めん（蒸し）",297
18,"そうめん（干し）",178
19,"スパゲティ（乾燥）",378
20,"じゃがいも",159
21,"さつまいも",264
22,"長いも",39
23,"さといも",29
24,"えび芋",243
25,"しらたき",12
26,"こんにゃく",14
27,"あずき（乾）",68
28,"大豆（乾）",417
29,"大豆（ゆで）",180
30,"絹ごし豆腐",56
31,"木綿豆腐",72
32,"厚揚げ",180
33,"油揚げ",77
34,"高野豆腐",85
35,"おから",71
36,"湯葉（生）",69
37,"納豆",100
38,"豆乳",92
39,"きな粉",35
40,"うぐいす豆",72
41,"金時豆",71
42,"あじ",82
43,"いわし",136
44,"さんま",310
45,"あまだい",136
46,"かれい",95
47,"銀だら",264
48,"金目鯛",160
49,"さば",202
50,"さわら",177
51,"さけ",133
52,"ぶり",308
53,"すずき",123
54,"むつ",227
55,"まながつお",224
56,"ししゃも",41
57,"あじ開き干し",99
58,"さんま開き干し",230
59,"ほっけ開き干し",298
60,"しらす干し",7
61,"ちりめんじゃこ",12
62,"たらこ",49
63,"辛子明太子",44
64,"いくら",44
65,"ちくわ",36
66,"はんぺん",94
67,"かまぼこ",19
68,"かに風味かまぼこ",11
69,"さつま揚げ",90
70,"コーヒー",0
71,"コーヒー（ミルク入り）",10
72,"コーヒー（砂糖入り）",15
73,"紅茶",0
74,"紅茶（ミルク入り）",10
75,"紅茶（砂糖入り）",15
76,"ココア",120
77,"カフェオレ",80
78,"サイダー",82
79,"コーラ",92
80,"ジュース（天然果汁）",80
81,"ビール",200
82,"ビール",230
83,"ビール",80
84,"発泡酒",90
85,"赤ワイン",80
86,"白ワイン",80
87,"ブランデー",140
88,"ウイスキー",135
89,"日本酒",190
90,"焼酎",100
91,"梅酒",100
92,"みかん",37
93,"オレンジ",47
94,"レモン",24
95,"さくらんぼ",30
96,"キウイフルーツ",45
97,"桃",68
98,"バナナ",77
99,"いちご",25
100,"りんご",115
101,"すいか",89
102,"メロン",52
103,"びわ",14
104,"ぶどう（巨峰）",7
105,"グレープフルーツ",106
106,"柿",93
107,"なし",110
108,"マンゴー",49
109,"桃缶",36
110,"みかん缶",40
111,"パイナップル缶",34
112,"鶏卵（M）",77
113,"鶏卵（L）",90
114,"うずら卵",15
115,"普通牛乳",141
116,"加工乳（低脂肪）",97
117,"加工乳（濃厚）",153
118,"ヨーグルト（加糖）",77
119,"ヨーグルト（無糖）",62
120,"生クリーム",65
121,"プロセスチーズ",80
122,"カマンベールチーズ",62
123,"クリームチーズ",69
124,"ピザ用チーズ",118
125,"ショートケーキ",344
126,"チョコレートケーキ",310
127,"チーズケーキ",260
128,"モンブラン",300
129,"アップルパイ",304
130,"マドレーヌ",110
131,"バームクーヘン",370
132,"シュークリーム",290
133,"チョコレート",20
134,"アーモンドチョコレート",25
135,"クッキー",50
136,"ビスケット",30
137,"プリン",189
138,"大福",118
139,"くず饅頭",88
140,"水羊かん",103
141,"どらやき",213
142,"くし団子（あん）",101
143,"くし団子（しょうゆ）",99
144,"たい焼き",240
145,"今川焼",200
146,"おはぎ",230
147,"草もち",115
148,"桜餅",100
149,"かしわもち",103
150,"カステラ",160
151,"最中",110
152,"塩せんべい",37
153,"あられ",20
154,"あんみつ",280
155,"みつ豆",190
156,"おしるこ",230
157,"牛もも肉",209
158,"牛バラ肉",454
159,"豚肩ロース肉",253
160,"豚もも肉",183
161,"鶏もも肉（皮付き）",200
162,"鶏むね肉（皮付き）",191
163,"鶏ささ身",105
164,"合びき肉",111
165,"ロースハム",29
166,"ボンレスハム",18
167,"ウインナーソーセージ",64
168,"ベーコン",81
